date,open,high,low,close
2020-09-30 21:00:00,63606.00000000,81693.00000000,46208.00000000,80237.00000000
2020-10-31 21:00:00,80132.00000000,106251.00000000,76771.00000000,104999.00000000
2020-11-30 21:00:00,104932.00000000,153360.00000000,89476.00000000,151825.00000000
2020-12-31 21:00:00,152056.00000000,228045.00000000,150000.00000000,182546.00000000
2021-01-31 21:00:00,182546.00000000,319000.00000000,179057.00000000,257551.00000000
2021-02-28 21:00:00,257538.00000000,346263.00000000,256447.00000000,334425.00000000
2021-03-31 21:00:00,334670.00000000,375418.00000000,261397.00000000,315831.00000000
2021-04-30 21:00:00,315934.00000000,322503.00000000,162999.00000000,195402.00000000
2021-05-31 21:00:00,195447.00000000,210000.00000000,145000.00000000,175718.00000000
2021-06-30 21:00:00,175851.00000000,220800.00000000,155062.00000000,216022.00000000
2021-07-31 21:00:00,216336.00000000,272741.00000000,194836.00000000,245700.00000000
2021-08-31 21:00:00,245634.00000000,276261.00000000,211574.00000000,238201.00000000
2021-09-30 21:00:00,238397.00000000,373000.00000000,235043.00000000,349930.00000000
2021-10-31 21:00:00,349925.00000000,380870.00000000,280000.00000000,323454.00000000
2021-11-30 21:00:00,323561.00000000,334395.00000000,246101.00000000,260593.00000000
2021-12-31 21:00:00,260570.00000000,270307.00000000,182280.00000000,205563.00000000
2022-01-31 21:00:00,205380.00000000,241181.00000000,172816.00000000,222638.00000000
2022-02-28 21:00:00,222697.00000000,232838.00000000,190277.00000000,217795.00000000
2022-03-31 21:00:00,217794.00000000,222764.00000000,183228.00000000,188927.00000000
2022-04-30 21:00:00,188900.00000000,197753.00000000,132500.00000000,151610.00000000
2022-05-31 21:00:00,151635.00000000,153790.00000000,91483.00000000,105329.00000000
2022-06-30 21:00:00,105267.00000000,132326.00000000,100050.00000000,121593.00000000
2022-07-31 21:00:00,121599.00000000,128364.00000000,99942.00000000,103622.00000000
2022-08-31 21:00:00,103627.00000000,116182.00000000,94690.00000000,104688.00000000
2022-09-30 21:00:00,104726.00000000,111800.00000000,96954.00000000,106941.00000000
2022-10-31 21:00:00,106962.00000000,109180.00000000,82379.00000000,90053.00000000
